fact_id,continent,question,context1,context2,answer
1,North America,Antigua and Barbuda,"""""","""""",Saint John's
2,North America,Bahamas,"""""","""""",Nassau
3,North America,Barbados,"""""","""""",Bridgetown
4,North America,Belize,"""""","""""",Belmopan
5,North America,Canada,"""""","""""",Ottawa
6,North America,Costa Rica,"""""","""""",San Jose
7,North America,Cuba,"""""","""""",Havana
8,North America,Dominica,"""""","""""",Roseau
9,North America,Dominican Republic,"""""","""""",Santo Domingo
10,North America,El Salvador,"""""","""""",San Salvador
11,North America,Grenada,"""""","""""",Saint George's
12,North America,Guatemala,"""""","""""",Guatemala City
13,North America,Haiti,"""""","""""",Port-au-Prince
14,North America,Honduras,"""""","""""",Tegucigalpa
15,North America,Jamaica,"""""","""""",Kingston
16,North America,Mexico,"""""","""""",Mexico City
17,North America,Nicaragua,"""""","""""",Managua
18,North America,Panama,"""""","""""",Panama City
19,North America,Saint Kitts and Nevis,"""""","""""",Basseterre
20,North America,Saint Lucia,"""""","""""",Castries
21,North America,Saint Vincent and the Grenadines,"""""","""""",Kingstown
22,North America,Trinidad and Tobago,"""""","""""",Port of Spain
23,North America,United States,"""""","""""","Washington, D.C."
24,Oceania,Australia,"""""","""""",Canberra
25,Oceania,Fiji,"""""","""""",Suva
26,Oceania,Kiribati,"""""","""""",South Tarawa
27,Oceania,Marshall Islands,"""""","""""",Majuro
28,Oceania,Micronesia,"""""","""""",Palikir
29,Oceania,Nauru,"""""","""""",Yaren District
30,Oceania,New Zealand,"""""","""""",Wellington
31,Oceania,Palau,"""""","""""",Ngerulmud
32,Oceania,Papua New Guinea,"""""","""""",Port Moresby
33,Oceania,Samoa,"""""","""""",Apia
34,Oceania,Solomon Islands,"""""","""""",Honiara
35,Oceania,Tonga,"""""","""""",Nuku'alofa
36,Oceania,Tuvalu,"""""","""""",Funafuti
37,Oceania,Vanuatu,"""""","""""",Port Vila
38,South America,Argentina,"""""","""""",Buenos Aires
39,South America,Bolivia,"""""","""""",Sucre
40,South America,Brazil,"""""","""""",Brasilia
41,South America,Chile,"""""","""""",Santiago
42,South America,Colombia,"""""","""""",Bogota
43,South America,Ecuador,"""""","""""",Quito
44,South America,Guyana,"""""","""""",Georgetown
45,South America,Paraguay,"""""","""""",Asuncion
46,South America,Peru,"""""","""""",Lima
47,South America,Suriname,"""""","""""",Paramaribo
48,South America,Uruguay,"""""","""""",Montevideo
49,South America,Venezuela,"""""","""""",Caracas
